datetime,equity,pos
2025-09-12 21:00:00,10000.0,0
2025-09-12 21:30:00,10000.0,0
2025-09-12 22:00:00,10000.0,0
2025-09-12 22:30:00,10000.0,0
2025-09-12 23:00:00,10000.0,0
2025-09-15 09:00:00,10000.0,0
2025-09-15 09:30:00,10000.0,0
2025-09-15 10:00:00,13973.6,1
2025-09-15 10:30:00,14005.2,1
2025-09-15 11:00:00,14076.400000000001,1
2025-09-15 11:30:00,14284.400000000001,1
2025-09-15 13:30:00,14193.2,1
2025-09-15 14:00:00,14375.6,1
2025-09-15 14:30:00,14238.8,1
2025-09-15 15:00:00,14307.2,1
2025-09-15 21:00:00,14572.400000000001,1
2025-09-15 21:30:00,14942.8,1
2025-09-15 22:00:00,15034.0,1
2025-09-15 22:30:00,15125.2,1
2025-09-15 23:00:00,15193.6,1
2025-09-16 09:00:00,15096.8,1
2025-09-16 09:30:00,14985.6,1
2025-09-16 10:00:00,14894.400000000001,1
2025-09-16 10:30:00,14985.6,1
2025-09-16 11:00:00,14848.8,1
2025-09-16 11:30:00,14960.0,1
2025-09-16 13:30:00,14934.400000000001,1
2025-09-16 14:00:00,15136.8,1
2025-09-16 14:30:00,15116.8,1
2025-09-16 15:00:00,15208.0,1
2025-09-16 21:00:00,15325.2,1
2025-09-16 21:30:00,15328.0,1
2025-09-16 22:00:00,15328.0,1
2025-09-16 22:30:00,15370.8,1
2025-09-16 23:00:00,15413.6,1
2025-09-17 09:00:00,15416.400000000001,1
2025-09-17 09:30:00,15271.2,1
2025-09-17 10:00:00,15365.2,1
2025-09-17 10:30:00,15365.2,1
2025-09-17 11:00:00,15456.400000000001,1
2025-09-17 11:30:00,15547.6,1
2025-09-17 13:30:00,15527.6,1
2025-09-17 14:00:00,15550.400000000001,1
2025-09-17 14:30:00,15390.8,1
2025-09-17 15:00:00,15416.400000000001,1
2025-09-17 21:00:00,15487.6,1
2025-09-17 21:30:00,15353.6,1
2025-09-17 22:00:00,15399.2,1
2025-09-17 22:30:00,15444.8,1
2025-09-17 23:00:00,15467.6,1
2025-09-18 09:00:00,15413.6,1
2025-09-18 09:30:00,15319.6,1
2025-09-18 10:00:00,15410.8,1
2025-09-18 10:30:00,15479.2,1
2025-09-18 11:00:00,15496.400000000001,1
2025-09-18 11:30:00,15405.2,1
2025-09-18 13:30:00,15470.8,1
2025-09-18 14:00:00,15356.8,1
2025-09-18 14:30:00,15379.6,1
2025-09-18 15:00:00,15379.6,1
2025-09-18 21:00:00,15448.0,1
2025-09-18 21:30:00,15576.400000000001,1
2025-09-18 22:00:00,15599.2,1
2025-09-18 22:30:00,15599.2,1
2025-09-18 23:00:00,15576.400000000001,1
2025-09-19 09:00:00,15616.400000000001,1
2025-09-19 09:30:00,15730.400000000001,1
2025-09-19 10:00:00,15753.2,1
