datetime,equity,pos
2026-06-01 01:00:00,10000.0,0
2026-06-01 01:30:00,10000.0,0
2026-06-01 02:00:00,10000.0,0
2026-06-01 02:30:00,12932.8,1
2026-06-01 03:00:00,12955.6,1
2026-06-01 03:30:00,12932.8,1
2026-06-01 05:30:00,12912.8,1
2026-06-01 06:00:00,13004.0,1
2026-06-01 06:30:00,12890.0,1
2026-06-01 07:00:00,12912.8,1
2026-06-01 13:00:00,12781.6,1
2026-06-01 13:30:00,12804.4,1
2026-06-01 14:00:00,12736.0,1
2026-06-01 14:30:00,12713.2,1
2026-06-01 15:00:00,12804.4,1
2026-06-02 01:00:00,12713.2,1
2026-06-02 01:30:00,12690.4,1
2026-06-02 02:00:00,12485.2,1
2026-06-02 02:30:00,6618.799999999999,-1
2026-06-02 03:00:00,6573.2,-1
2026-06-02 03:30:00,6573.2,-1
2026-06-02 05:30:00,6547.6,-1
2026-06-02 06:00:00,6524.799999999999,-1
2026-06-02 06:30:00,6570.4,-1
2026-06-02 07:00:00,6547.6,-1
2026-06-02 13:00:00,6439.2,-1
2026-06-02 13:30:00,6393.6,-1
2026-06-02 14:00:00,6370.799999999999,-1
2026-06-02 14:30:00,6302.4,-1
2026-06-02 15:00:00,6325.2,-1
2026-06-03 01:00:00,6325.2,-1
2026-06-03 01:30:00,6393.6,-1
2026-06-03 02:00:00,6393.6,-1
2026-06-03 02:30:00,6484.799999999999,-1
2026-06-03 03:00:00,6416.4,-1
2026-06-03 03:30:00,6416.4,-1
2026-06-03 05:30:00,6373.6,-1
2026-06-03 06:00:00,6396.4,-1
2026-06-03 06:30:00,6350.799999999999,-1
2026-06-03 07:00:00,6350.799999999999,-1
2026-06-03 13:00:00,6399.2,-1
2026-06-03 13:30:00,6353.6,-1
2026-06-03 14:00:00,6376.4,-1
2026-06-03 14:30:00,6490.4,-1
2026-06-03 15:00:00,6467.6,-1
2026-06-04 01:00:00,6467.6,-1
2026-06-04 01:30:00,6604.4,-1
2026-06-04 02:00:00,6672.799999999999,-1
2026-06-04 02:30:00,6695.6,-1
2026-06-04 03:00:00,6809.6,-1
2026-06-04 03:30:00,6764.0,-1
2026-06-04 05:30:00,6764.0,-1
2026-06-04 06:00:00,6786.799999999999,-1
2026-06-04 06:30:00,6809.6,-1
2026-06-04 07:00:00,6741.2,-1
2026-06-04 13:00:00,6766.799999999999,-1
2026-06-04 13:30:00,6766.799999999999,-1
2026-06-04 14:00:00,6698.4,-1
2026-06-04 14:30:00,6766.799999999999,-1
2026-06-04 15:00:00,6858.0,-1
2026-06-05 01:00:00,6835.2,-1
2026-06-05 01:30:00,6972.0,-1
2026-06-05 02:00:00,6994.799999999999,-1
2026-06-05 02:30:00,7017.6,-1
2026-06-05 03:00:00,7017.6,-1
2026-06-05 03:30:00,7108.799999999999,-1
2026-06-05 05:30:00,7111.6,-1
2026-06-05 06:00:00,7134.4,-1
2026-06-05 06:30:00,7248.4,-1
2026-06-05 07:00:00,7180.0,-1
2026-06-05 13:00:00,7208.4,-1
2026-06-05 13:30:00,7231.2,-1
2026-06-05 14:00:00,7208.4,-1
2026-06-05 14:30:00,7208.4,-1
2026-06-05 15:00:00,7117.2,-1
2026-06-08 01:00:00,7208.4,-1
2026-06-08 01:30:00,7254.0,-1
2026-06-08 02:00:00,7345.2,-1
2026-06-08 02:30:00,7299.6,-1
2026-06-08 03:00:00,7299.6,-1
2026-06-08 03:30:00,7299.6,-1
2026-06-08 05:30:00,7276.799999999999,-1
2026-06-08 06:00:00,7162.799999999999,-1
2026-06-08 06:30:00,7208.4,-1
2026-06-08 07:00:00,7276.799999999999,-1
2026-06-08 13:00:00,7239.6,-1
2026-06-08 13:30:00,7353.6,-1
2026-06-08 14:00:00,7285.2,-1
2026-06-08 14:30:00,7308.0,-1
2026-06-08 15:00:00,7376.4,-1
2026-06-09 01:00:00,7353.6,-1
2026-06-09 01:30:00,7399.2,-1
2026-06-09 02:00:00,7376.4,-1
2026-06-09 02:30:00,7330.799999999999,-1
2026-06-09 03:00:00,7353.6,-1
2026-06-09 03:30:00,7399.2,-1
2026-06-09 05:30:00,7399.2,-1
2026-06-09 06:00:00,7422.0,-1
2026-06-09 06:30:00,7353.6,-1
2026-06-09 07:00:00,7422.0,-1
2026-06-09 13:00:00,7447.6,-1
2026-06-09 13:30:00,7379.2,-1
2026-06-09 14:00:00,7447.6,-1
2026-06-09 14:30:00,7470.4,-1
2026-06-09 15:00:00,7538.799999999999,-1
2026-06-10 01:00:00,7630.0,-1
2026-06-10 01:30:00,7630.0,-1
2026-06-10 02:00:00,7447.6,-1
2026-06-10 02:30:00,7333.6,-1
2026-06-10 03:00:00,7447.6,-1
2026-06-10 03:30:00,7470.4,-1
