datetime,equity,pos
2025-09-12 21:00:00,10000.0,0
2025-09-12 21:30:00,10000.0,0
2025-09-12 22:00:00,10000.0,0
2025-09-12 22:30:00,10000.0,0
2025-09-12 23:00:00,10000.0,0
2025-09-15 09:00:00,10000.0,0
2025-09-15 09:30:00,10000.0,0
2025-09-15 10:00:00,10000.0,0
2025-09-15 10:30:00,10000.0,0
2025-09-15 11:00:00,10000.0,0
2025-09-15 11:30:00,10000.0,0
2025-09-15 13:30:00,10000.0,0
2025-09-15 14:00:00,10000.0,0
2025-09-15 14:30:00,10000.0,0
2025-09-15 15:00:00,10000.0,0
2025-09-15 21:00:00,10000.0,0
2025-09-15 21:30:00,10000.0,0
2025-09-15 22:00:00,10000.0,0
2025-09-15 22:30:00,10000.0,0
2025-09-15 23:00:00,10000.0,0
2025-09-16 09:00:00,10000.0,0
2025-09-16 09:30:00,10000.0,0
2025-09-16 10:00:00,10000.0,0
2025-09-16 10:30:00,10000.0,0
2025-09-16 11:00:00,10000.0,0
2025-09-16 11:30:00,10000.0,0
2025-09-16 13:30:00,10000.0,0
2025-09-16 14:00:00,10000.0,0
2025-09-16 14:30:00,10000.0,0
2025-09-16 15:00:00,10000.0,0
2025-09-16 21:00:00,10000.0,0
2025-09-16 21:30:00,10000.0,0
2025-09-16 22:00:00,10000.0,0
2025-09-16 22:30:00,10000.0,0
2025-09-16 23:00:00,10000.0,0
2025-09-17 09:00:00,10000.0,0
2025-09-17 09:30:00,10000.0,0
2025-09-17 10:00:00,10000.0,0
2025-09-17 10:30:00,10000.0,0
2025-09-17 11:00:00,10000.0,0
2025-09-17 11:30:00,10000.0,0
2025-09-17 13:30:00,10000.0,0
2025-09-17 14:00:00,10000.0,0
2025-09-17 14:30:00,10000.0,0
2025-09-17 15:00:00,10000.0,0
2025-09-17 21:00:00,10000.0,0
2025-09-17 21:30:00,10000.0,0
2025-09-17 22:00:00,10000.0,0
2025-09-17 22:30:00,10000.0,0
2025-09-17 23:00:00,10000.0,0
2025-09-18 09:00:00,10000.0,0
2025-09-18 09:30:00,10000.0,0
2025-09-18 10:00:00,10000.0,0
2025-09-18 10:30:00,10000.0,0
2025-09-18 11:00:00,10000.0,0
2025-09-18 11:30:00,10000.0,0
2025-09-18 13:30:00,10000.0,0
2025-09-18 14:00:00,10000.0,0
2025-09-18 14:30:00,10000.0,0
2025-09-18 15:00:00,10000.0,0
2025-09-18 21:00:00,10000.0,0
2025-09-18 21:30:00,10000.0,0
2025-09-18 22:00:00,10000.0,0
2025-09-18 22:30:00,10000.0,0
2025-09-18 23:00:00,10000.0,0
2025-09-19 09:00:00,10000.0,0
2025-09-19 09:30:00,10000.0,0
2025-09-19 10:00:00,10000.0,0
2025-09-19 10:30:00,10000.0,0
2025-09-19 11:00:00,10000.0,0
