datetime,open,high,low,close,volume,open_interest
2026-06-01 01:00:00,1051,1053,1049,1051,18111.0,1323219.0
2026-06-01 01:01:00,1051,1052,1050,1050,7746.0,1324035.0
2026-06-01 01:02:00,1050,1051,1048,1049,7067.0,1324653.0
2026-06-01 01:03:00,1049,1049,1046,1046,10046.0,1325862.0
2026-06-01 01:04:00,1046,1048,1046,1047,9216.0,1326788.0
2026-06-01 01:05:00,1047,1049,1046,1048,6281.0,1327571.0
2026-06-01 01:06:00,1048,1050,1048,1049,6366.0,1328026.0
2026-06-01 01:07:00,1049,1049,1047,1048,5107.0,1328582.0
2026-06-01 01:08:00,1048,1049,1047,1047,3278.0,1328903.0
2026-06-01 01:09:00,1047,1048,1046,1046,7466.0,1330362.0
2026-06-01 01:10:00,1046,1047,1046,1046,2661.0,1330211.0
2026-06-01 01:11:00,1046,1047,1045,1046,6218.0,1331139.0
2026-06-01 01:12:00,1046,1048,1046,1048,3251.0,1331563.0
2026-06-01 01:13:00,1048,1048,1046,1048,3874.0,1330836.0
2026-06-01 01:14:00,1048,1048,1047,1048,1138.0,1330622.0
2026-06-01 01:15:00,1048,1048,1047,1047,1891.0,1331190.0
2026-06-01 01:16:00,1047,1048,1046,1048,4302.0,1331649.0
2026-06-01 01:17:00,1048,1048,1047,1047,892.0,1331215.0
2026-06-01 01:18:00,1047,1048,1047,1047,1721.0,1331131.0
2026-06-01 01:19:00,1047,1048,1047,1048,1258.0,1331037.0
2026-06-01 01:20:00,1048,1048,1047,1048,2382.0,1330207.0
2026-06-01 01:21:00,1048,1048,1047,1047,941.0,1329832.0
2026-06-01 01:22:00,1047,1049,1047,1049,2488.0,1329571.0
2026-06-01 01:23:00,1049,1051,1048,1051,13505.0,1333239.0
2026-06-01 01:24:00,1051,1052,1050,1051,4866.0,1332315.0
2026-06-01 01:25:00,1051,1052,1050,1051,3164.0,1332674.0
2026-06-01 01:26:00,1051,1054,1050,1052,7521.0,1332756.0
2026-06-01 01:27:00,1052,1053,1052,1052,4023.0,1332456.0
2026-06-01 01:28:00,1052,1053,1052,1053,1747.0,1332953.0
2026-06-01 01:29:00,1053,1053,1051,1052,3606.0,1332792.0
2026-06-01 01:30:00,1052,1053,1051,1051,2145.0,1332556.0
2026-06-01 01:31:00,1051,1053,1051,1052,1343.0,1332137.0
2026-06-01 01:32:00,1052,1054,1052,1054,2691.0,1332816.0
2026-06-01 01:33:00,1054,1055,1054,1055,7142.0,1333348.0
2026-06-01 01:34:00,1055,1055,1053,1054,5081.0,1334694.0
2026-06-01 01:35:00,1054,1055,1054,1054,4628.0,1334369.0
2026-06-01 01:36:00,1054,1055,1053,1054,2755.0,1334340.0
2026-06-01 01:37:00,1054,1055,1053,1053,2054.0,1334206.0
2026-06-01 01:38:00,1053,1054,1053,1053,1627.0,1334381.0
2026-06-01 01:39:00,1053,1054,1053,1053,911.0,1334240.0
2026-06-01 01:40:00,1053,1055,1053,1055,2825.0,1334249.0
2026-06-01 01:41:00,1055,1056,1054,1056,11985.0,1339387.0
2026-06-01 01:42:00,1056,1056,1054,1054,5078.0,1339408.0
2026-06-01 01:43:00,1054,1055,1054,1054,1412.0,1339163.0
2026-06-01 01:44:00,1054,1055,1054,1055,1868.0,1338383.0
2026-06-01 01:45:00,1055,1055,1054,1055,1576.0,1338847.0
2026-06-01 01:46:00,1055,1055,1053,1054,5483.0,1338212.0
2026-06-01 01:47:00,1054,1056,1054,1056,2903.0,1337936.0
2026-06-01 01:48:00,1056,1056,1054,1056,2462.0,1337163.0
2026-06-01 01:49:00,1056,1056,1055,1056,2071.0,1337028.0
