date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl
2023-07-03,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-04,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-06,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-07,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-10,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-11,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-12,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-13,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-14,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-17,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-18,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-19,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-20,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-21,1,967860.0,96.786,-4550.397812556021,0.0,-4550.397812556021,-4647.183812556021
2023-07-24,0,0.0,0.0,0.0,-27913.76138804554,-27913.76138804554,-27913.76138804554
2023-07-25,0,0.0,0.0,0.0,18799.063791949084,18799.063791949084,18799.063791949084
2023-07-26,0,0.0,0.0,0.0,21647.406790729066,21647.406790729066,21647.406790729066
2023-07-27,0,0.0,0.0,0.0,3987.680198292146,3987.680198292146,3987.680198292146
2023-07-28,0,0.0,0.0,0.0,-20508.06959121707,-20508.06959121707,-20508.06959121707
2023-07-31,0,0.0,0.0,0.0,19368.73239170508,19368.73239170508,19368.73239170508
2023-08-01,0,0.0,0.0,0.0,57536.52857535872,57536.52857535872,57536.52857535872
2023-08-02,0,0.0,0.0,0.0,-3418.01159853615,-3418.01159853615,-3418.01159853615
2023-08-03,0,0.0,0.0,0.0,-1709.0057992679886,-1709.0057992679886,-1709.0057992679886
2023-08-04,0,0.0,0.0,0.0,22786.743990241055,22786.743990241055,22786.743990241055
2023-08-07,0,0.0,0.0,0.0,-10254.03479560845,-10254.03479560845,-10254.03479560845
2023-08-08,0,0.0,0.0,0.0,-13102.377794388603,-13102.377794388603,-13102.377794388603
2023-08-09,0,0.0,0.0,0.0,-6266.354597316476,-6266.354597316476,-6266.354597316476
