date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl
2023-07-03,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-04,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-06,1,46980.0,4.698,2.668200931393585,0.0,2.668200931393585,-2.0297990686064153
2023-07-07,0,0.0,0.0,0.0,839.5116206930925,839.5116206930925,839.5116206930925
2023-07-10,0,0.0,0.0,0.0,-269.843020937069,-269.843020937069,-269.843020937069
2023-07-11,0,0.0,0.0,0.0,1109.3546416301615,1109.3546416301615,1109.3546416301615
2023-07-12,0,0.0,0.0,0.0,29.982557881894536,29.982557881894536,29.982557881894536
2023-07-13,0,0.0,0.0,0.0,-209.87790517327085,-209.87790517327085,-209.87790517327085
2023-07-14,0,0.0,0.0,0.0,1828.9360307956667,1828.9360307956667,1828.9360307956667
2023-07-17,0,0.0,0.0,0.0,-239.86046305516538,-239.86046305516538,-239.86046305516538
2023-07-18,0,0.0,0.0,0.0,1139.337199512056,1139.337199512056,1139.337199512056
2023-07-19,0,0.0,0.0,0.0,1169.3197573939506,1169.3197573939506,1169.3197573939506
2023-07-20,0,0.0,0.0,0.0,-1469.1453362129141,-1469.1453362129141,-1469.1453362129141
2023-07-21,0,0.0,0.0,0.0,-209.87790517327085,-209.87790517327085,-209.87790517327085
2023-07-24,0,0.0,0.0,0.0,-1469.1453362129232,-1469.1453362129232,-1469.1453362129232
2023-07-25,0,0.0,0.0,0.0,989.4244101025834,989.4244101025834,989.4244101025834
2023-07-26,0,0.0,0.0,0.0,1139.337199512056,1139.337199512056,1139.337199512056
2023-07-27,0,0.0,0.0,0.0,209.87790517327085,209.87790517327085,209.87790517327085
2023-07-28,0,0.0,0.0,0.0,-1079.372083748267,-1079.372083748267,-1079.372083748267
2023-07-31,0,0.0,0.0,0.0,1019.4069679844779,1019.4069679844779,1019.4069679844779
2023-08-01,0,0.0,0.0,0.0,3028.238346071512,3028.238346071512,3028.238346071512
2023-08-02,0,0.0,0.0,0.0,-179.8953472913763,-179.8953472913763,-179.8953472913763
2023-08-03,0,0.0,0.0,0.0,-89.94767364568361,-89.94767364568361,-89.94767364568361
2023-08-04,0,0.0,0.0,0.0,1199.302315275845,1199.302315275845,1199.302315275845
