date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl
2023-07-03,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-04,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,1,93720.0,23.43,185.3712860989799,0.0,185.3712860989799,161.9412860989799
2023-07-06,0,0.0,0.0,0.0,59.96511576380726,59.96511576380726,59.96511576380726
2023-07-07,1,93920.0,23.48,-1724.3596432489721,1679.023241386185,-45.33640186278717,-68.81640186278717
2023-07-10,1,95644.35964324897,23.911089910812244,-539.686041874138,0.0,-539.686041874138,-563.5971317849503
2023-07-11,1,95884.22010630413,23.971055026576032,-1439.1627783310287,2218.709283260323,779.5465049292943,755.5754499027183
2023-07-12,1,97360.0,24.34,23.34800039894617,0.0,23.34800039894617,-0.9919996010538306
2023-07-13,1,97360.0,24.34,396.4078099475955,-419.7558103465417,-23.34800039894617,-47.68800039894617
2023-07-14,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-17,1,50340.0,12.585,-269.1283372332964,0.0,-269.1283372332964,-281.7133372332964
2023-07-18,1,50550.59258887704,12.637648147219261,-659.6162734017162,1139.337199512056,479.72092611033986,467.0832779631206
2023-07-19,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-20,1,52139.66815661755,13.034917039154386,-1229.2848731577487,0.0,-1229.2848731577487,-1242.319790196903
2023-07-21,1,51120.26118863307,12.780065297158268,419.7558103465417,-209.87790517327085,209.87790517327085,197.09783987611257
2023-07-24,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-25,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-26,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-27,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-28,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-02,1,54268.42976623218,13.567107441558045,89.94767364568361,0.0,89.94767364568361,76.38056620412556
2023-08-03,1,54718.16813446062,13.679542033615155,449.7383682284453,-89.94767364568361,359.7906945827617,346.11115254914654
2023-08-04,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,55480.0,13.870000000000001,-551.9539603661087,0.0,-551.9539603661087,-565.8239603661087
